"UID","parkName","panoramaID","panoramaDate","year","direction"
"-k0sb2FkM2Bw6vR9ruFkbA","Foster-Park","VF0EmKjUUikRA2E57fLtSA","Aug 2017","2017",139
"-k1Bq-OY_6DYy6t21llB9A","Nelson-Park","aTL2VS2_-tJGUhB4do7pyg","May 2017","2017",117
"-lRD5AtTS0XMLmjmQS9kJA","Granville-Park","R1H8fhmnFo0Cbzga15mmKQ","Jun 2017","2017",271
"-loYs-FqECzLeyKdqSF76g","Kaslo-Park","Snxt73iJCAw3mTEROT1kvw","May 2017","2017",181
"-m2RkajhahXJgqBvnrB0ZQ","Emery-Barnes-Park","dXV4fHZ5iiUdXlCryMm06Q","Jun 2017","2017",214
"-m9xz5Y4Ko8pulY31RBFmA","Nelson-Park","Ytshf94PYKPuVuKAqKcH7g","May 2017","2017",225
"-m9xz5Y4Ko8pulY31RBFmA","Nelson-Park","gxpqXiVVxp6Hi0XYhJhSbg","Apr 2017","2017",225
"-mg_jV_J_Aw_tM8gmD3_iw","Memorial-South-Park","FNZMzu0xXFrdM_BK_9zK1g","May 2017","2017",180
"-mhQrX6N0dwuBWNCEfXatQ","Emery-Barnes-Park","wqyTnfkKzDQgW4mPCxxH9w","Jun 2017","2017",149
"-mloAhhWJvPFuJlIgIH_Og","Mount-Pleasant-Park","U8sbqYbSnn_HRVE_-Rit3w","Jun 2017","2017",271
"-mntJfzBIxX5Tzt-NtB5hA","Kaslo-Park","_kOK7A3b9IIZewqREK-8ZQ","Jun 2017","2017",272
"-n1OcYkiOi03AcIrtYub8g","Woodland-Park","jKevpArVNYOkSmcBNtiBTg","May 2017","2017",155
"-oOM1ceW56ZqoolVPMxgbw","Quilchena-Park","D5-WrDmD7HYauBMarLxZvQ","May 2017","2017",217
"-q4dqWx59_1G9-ID-Dv_5Q","Granville-Park","8p7dVjaDZ0-dfQz_SvtlVw","May 2017","2017",82
"-q6VVvkxX1wgFlF-woqLkA","John-Hendry-Park","KiJxV4WlI2sketL7wznQlA","May 2017","2017",360
"-qA7HWEGVkzGRssQaBfP3g","Strathcona-Park","FYPlZ7JoduQ_2k84ETXcCA","Jun 2017","2017",90
"-qZA5w11YzMkEw6lLjGIkw","Memorial-South-Park","mTLIOpcunOAT0p-sSKvA3Q","May 2017","2017",271
"-qyd-HAFAKywX3xMa4z6Gg","Earles-Park","L4-v6bFv8VPPzhAN3iV_Dg","Jun 2017","2017",272
"-qyd-HAFAKywX3xMa4z6Gg","Foster-Park","L4-v6bFv8VPPzhAN3iV_Dg","Jun 2017","2017",272
"-r7X0ADwRvoo7ut-K8n9OA","Memorial-South-Park","7ECCFIBtP_BTGQ4D6yRQPw","May 2017","2017",272
"-s0QjhAB68JmqcaK6_FhDg","Foster-Park","V9DD_ujLyh6xe9-_uhYEEA","Aug 2017","2017",208
"-shHsKUqXv-YP1OhmPWKNQ","Connaught-Park","OWgnms4m5yt4TQmrTFdQOg","May 2017","2017",272
"-t0NzSbkPp0khDu_4hUNLg","Memorial-South-Park","xO0kGmDSujKGa9Awb649xw","May 2017","2017",20
"-tO5KDXwNLMM6YRYKbdARA","Fraserlands-Park","EuhwiZAsZ_kDurUQXc6qHg","Aug 2017","2017",276
"-tl1gJrRhkAbtrltNRqHGA","Nelson-Park","UgvxQLzTNrgqygpcXRoinQ","May 2017","2017",359
"-tpkCXa8H-Hg84eUaI9WRg","Eburne-Park","7V0fhMgUOKc9EiQhvcxKNA","May 2017","2017",306
"-vNwwCBcPn90XV3Hx-sIeQ","Emery-Barnes-Park","0XzA0MBmlqzICI2G_OGjEw","May 2017","2017",224
"-viRseSL91aGngc73QUDTw","Winona-Park","3NxS0qCVgaUZYL66Hb0yng","May 2017","2017",272
"-vkSsP9sBNWSpgEFbotm-g","Hillcrest-Park","6B0RGy3DvO_m9YI4GD608w","May 2017","2017",316
